FlightNumber,PayloadMass,Orbit,LaunchSite,Flights,GridFins,Reused,Legs,LandingPad,Block,ReusedCount,Serial
38,4990.0,LEO,KSC LC 39A,1,True,False,True,5e9e3032383ecb267a34e7c7,4.0,1,B1040
39,9600.0,PO,VAFB SLC 4E,1,True,False,True,5e9e3033383ecbb9e534e7cc,4.0,1,B1041
40,5200.0,GTO,KSC LC 39A,2,True,True,True,5e9e3032383ecb6bb234e7ca,3.0,1,B1031
41,3700.0,GTO,KSC LC 39A,1,True,False,True,5e9e3032383ecb6bb234e7ca,4.0,0,B1042
42,2205.0,ISS,CCAFS SLC 40,2,True,True,True,5e9e3032383ecb267a34e7c7,3.0,1,B1035
43,9600.0,PO,VAFB SLC 4E,2,True,True,False,,3.0,1,B1036
44,6104.959411764706,LEO,CCAFS SLC 40,1,True,False,True,5e9e3032383ecb267a34e7c7,4.0,1,B1043
45,4230.0,GTO,CCAFS SLC 40,2,True,True,True,,3.0,1,B1032
46,6092.0,GTO,CCAFS SLC 40,1,True,False,True,,4.0,0,B1044
47,9600.0,PO,VAFB SLC 4E,2,True,True,True,,4.0,1,B1041
48,2760.0,ISS,CCAFS SLC 40,2,True,True,True,,4.0,1,B1039
49,350.0,HEO,CCAFS SLC 40,1,True,False,True,5e9e3032383ecb6bb234e7ca,4.0,1,B1045
50,3750.0,GTO,KSC LC 39A,1,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,3,B1046
51,5383.85,GTO,CCAFS SLC 40,2,False,True,False,,4.0,1,B1040
52,2410.0,ISS,CCAFS SLC 40,2,False,True,False,,4.0,1,B1045
53,7076.0,GTO,CCAFS SLC 40,1,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,2,B1047
54,9600.0,PO,VAFB SLC 4E,1,True,False,True,5e9e3033383ecbb9e534e7cc,5.0,4,B1048
55,5800.0,GTO,CCAFS SLC 40,2,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,3,B1046
56,7060.0,GTO,CCAFS SLC 40,1,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,5,B1049
57,2800.0,SSO,VAFB SLC 4E,2,True,True,True,5e9e3032383ecb554034e7c9,5.0,4,B1048
58,3000.0,GTO,KSC LC 39A,2,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,2,B1047
59,4000.0,SSO,VAFB SLC 4E,3,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,3,B1046
60,2573.0,ISS,CCAFS SLC 40,1,True,False,True,5e9e3032383ecb267a34e7c7,5.0,0,B1050
61,4400.0,MEO,CCAFS SLC 40,1,False,False,False,,5.0,0,B1054
62,9600.0,PO,VAFB SLC 4E,2,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,5,B1049
63,12259.0,ISS,KSC LC 39A,1,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,5,B1051
64,2482.0,ISS,CCAFS SLC 40,1,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,3,B1056
65,13620.0,VLEO,CCAFS SLC 40,3,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,5,B1049
66,1425.0,SSO,VAFB SLC 4E,2,True,True,True,5e9e3032383ecb554034e7c9,5.0,5,B1051
67,2227.7,ISS,CCAFS SLC 40,2,True,True,True,5e9e3032383ecb267a34e7c7,5.0,3,B1056
68,6500.0,GTO,CCAFS SLC 40,3,False,True,False,,5.0,2,B1047
69,15600.0,VLEO,CCAFS SLC 40,4,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,4,B1048
70,5000.0,ISS,CCAFS SLC 40,1,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,3,B1059
71,6800.0,GTO,CCAFS SLC 40,3,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,3,B1056
72,15400.0,VLEO,CCAFS SLC 40,4,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,5,B1049
73,6104.959411764706,SO,KSC LC 39A,4,False,True,False,,5.0,3,B1046
74,15600.0,VLEO,CCAFS SLC 40,3,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,5,B1051
75,15400.0,VLEO,CCAFS SLC 40,4,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,3,B1056
76,1977.0,ISS,CCAFS SLC 40,2,True,True,True,5e9e3032383ecb267a34e7c7,5.0,3,B1059
77,15600.0,VLEO,KSC LC 39A,5,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,4,B1048
78,15400.0,VLEO,KSC LC 39A,4,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,5,B1051
79,9525.0,ISS,KSC LC 39A,1,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,2,B1058
80,15400.0,VLEO,CCAFS SLC 40,5,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,5,B1049
81,15400.0,VLEO,CCAFS SLC 40,3,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,3,B1059
82,3880.0,MEO,CCAFS SLC 40,1,True,False,True,5e9e3033383ecbb9e534e7cc,5.0,2,B1060
83,6104.959411764706,GEO,CCAFS SLC 40,2,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,2,B1058
84,15400.0,VLEO,CCAFS SLC 40,6,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,5,B1049
85,1600.0,SSO,CCAFS SLC 40,4,True,True,True,5e9e3032383ecb267a34e7c7,5.0,3,B1059
86,15400.0,VLEO,KSC LC 39A,2,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,2,B1060
87,15400.0,VLEO,KSC LC 39A,3,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,2,B1058
88,15400.0,VLEO,KSC LC 39A,6,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,5,B1051
89,15400.0,VLEO,CCAFS SLC 40,3,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,2,B1060
90,3681.0,MEO,CCAFS SLC 40,1,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,0,B1062
